id,price,distance,calcPrice,address
197119,3.05,16.04,5.27,"Peachtree Industrial Boulevard, Overlook, Gwinnett County, Georgia, 30092, United States"
194733,4.99,1.87,5.41,"QuikTrip, Chattahoochee Avenue Northwest, Woodward, Atlantic Station, Atlanta, Fulton County, Georgia, 30318, United States"
195119,4.59,4.06,5.44,"477, Windsor Street Southwest, Mechanicsville, Atlanta, Fulton County, Georgia, 30312, United States"
200999,4.99,2.14,5.48,"Northside Drive Northwest, Howell Station, Atlantic Station, Atlanta, Fulton County, Georgia, 30327, United States"
198019,4.99,2.46,5.55,"RaceTrac, 2429, Marietta Boulevard Northwest, Bolton, Atlanta, Fulton County, Georgia, 30318, United States"
128239,4.69,4.3,5.61,"Shell, 486, Ponce de Leon Avenue Northeast, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30308, United States"
88574,4.89,3.48,5.66,"Chevron, Joseph E. Lowery Boulevard, Joel Chandler Harris Homes, Atlanta, Fulton County, Georgia, 30310, United States"
145119,4.69,4.64,5.68,"New Birth Fellowship Church, Boulevard Northeast, Old Fourth Ward, Atlanta, Fulton County, Georgia, 30312, United States"
131479,4.99,4.05,5.91,"Chevron, Veterans Memorial Highway Southeast, Brookside Village, Cobb County, Georgia, 30369, United States"
199872,4.89,5.42,6.09,"125, University Avenue, Peoplestown, Atlanta, Fulton County, Georgia, 30310, United States"
114655,4.59,7.32,6.12,"1405, Moreland Avenue Southeast, Atlanta, Fulton County, Georgia, 30316, United States"
146621,4.99,5.09,6.14,"RaceTrac, East-West Connector, Smyrna, Cobb County, Georgia, 30082, United States"
106920,4.99,5.1,6.15,"4335, Fulton Industrial Boulevard Southwest, Atlanta, Fulton County, Georgia, 30336, United States"
200450,4.99,5.29,6.19,"RaceTrac, 7039, Mableton Parkway, Cardell, Cobb County, Georgia, 30126, United States"
128237,4.99,5.54,6.25,"Exxon, 1161, Ponce de Leon Avenue Northeast, Linwood, Atlanta, Fulton County, Georgia, 30306, United States"
130533,4.59,8.39,6.34,"1052, Old Bankhead Highway, Dunn Hill, Mableton, Cobb County, Georgia, 30126, United States"
98928,4.79,7.37,6.39,"Hargrove Road Southeast, Smyrna, Cobb County, Georgia, 31139, United States"
112938,4.99,6.22,6.4,"BP, Six Flags Parkway, Cobb County, Georgia, 30168, United States"
147747,4.79,7.42,6.41,"Kirkwood Car Wash, Oakview Road Southeast, Kirkwood, Atlanta, DeKalb County, Georgia, 30317, United States"
121870,4.59,8.75,6.42,"Powder Springs Street Southeast, Smyrna, Cobb County, Georgia, 30080, United States"
194732,4.99,6.34,6.43,"3061, Lakewood Avenue Southwest, East Point, Fulton County, Georgia, 30310, United States"
113050,4.99,6.9,6.56,"555, Riverside Parkway, Flagstone, Cobb County, Georgia, 30168, United States"
91153,4.89,8.03,6.67,"Fountain Oaks, Roswell Road, Sandy Springs, Fulton County, Georgia, 30342, United States"
97769,4.69,9.36,6.69,"5707, Roswell Road, Sandy Springs, Fulton County, Georgia, 30342, United States"
125805,4.79,8.79,6.7,"3537, Main Street, Atlanta, Fulton County, Georgia, 30337, United States"
198399,4.99,7.79,6.76,"QuikTrip, 695, Veterans Memorial Highway Southwest, Leland, Mableton, Cobb County, Georgia, 30126, United States"
123362,4.69,10.17,6.86,"Maxham Road, Beech Gum Mobile Home Park, Douglas County, Georgia, 30168, United States"
128286,4.49,11.77,6.89,"851, Appleton Drive, Fair Oaks, Cobb County, Georgia, 30008, United States"
124599,4.89,9.19,6.93,"Exxon, Candler Road Southeast, East Lake Highlands, Atlanta, DeKalb County, Georgia, 30317, United States"
129194,4.75,10.09,6.93,"Shell, Candler Road, Glenwood Hills, Candler-McAfee, DeKalb County, Georgia, 30032, United States"
88541,4.79,9.99,6.97,"3454, Johnson Ferry Road Northeast, Brookhaven, DeKalb County, Georgia, 30319, United States"
136070,4.79,10.41,7.06,"Taco Bell, Memorial Drive, Belvedere Park, DeKalb County, Georgia, 30032, United States"
136811,4.74,11.3,7.17,"Food Mart, 4758, Old Dixie Road, Forest Park, Clayton County, Georgia, 30297, United States"
107115,4.99,9.65,7.18,"Chevron, Browns Mill Road, Plunket Town, Atlanta, Fulton County, Georgia, 30354, United States"
93973,4.59,12.6,7.22,"4329, North Peachtree Road, Dunwoody, DeKalb County, Georgia, 30338, United States"
92411,4.79,11.8,7.36,"Texaco, 5084, Old National Highway, Cooks Crossing, Atlanta, Fulton County, Georgia, 30349, United States"
127584,4.89,11.43,7.43,"3513, Flat Shoals Road, Panthersville, DeKalb County, Georgia, 30034, United States"
84210,4.89,11.46,7.44,"Chevron, Lavista Road, Tucker, DeKalb County, Georgia, 30084, United States"
139687,4.99,10.98,7.48,"QuikTrip, 1350, South Cobb Drive, Marietta, Cobb County, Georgia, 30060, United States"
121752,4.85,12.18,7.54,"5176, State Route 85, Clayton County, Georgia, 30297, United States"
